Fecha;Temp1;Humedad 1;Temp 2;Humedad 2;TDS;Temperatura NTC;Ph;Nivel (m)
16/7/2026 12:21;23,4;48,6;22,0;52,9;276;-148,87;8,59;0,23
16/7/2026 12:21;23,4;48,6;22,1;53,0;276;-148,87;8,58;0,23
16/7/2026 12:21;23,4;48,5;22,1;53,0;274;-148,87;8,58;0,23
16/7/2026 12:24;23,4;48,6;22,2;53,0;273;-148,87;8,58;0,23
16/7/2026 12:24;23,4;48,7;22,1;52,9;274;-148,87;8,59;0,23
16/7/2026 12:24;23,4;48,6;22,1;53,1;272;-148,87;8,60;0,23
16/7/2026 12:24;23,3;48,4;22,1;53,2;272;-148,87;8,61;0,23
16/7/2026 12:24;23,4;48,5;22,1;53,1;271;-148,87;8,62;0,23
16/7/2026 12:24;23,4;48,4;22,0;53,0;270;-148,87;8,62;0,23
16/7/2026 12:24;23,4;48,5;21,9;53,2;271;-148,87;8,60;0,23
16/7/2026 12:24;23,4;48,4;21,9;52,9;269;-148,87;8,58;0,23
16/7/2026 12:26;23,5;48,6;21,9;52,9;271;-148,87;8,57;0,23
16/7/2026 12:26;23,4;48,4;21,8;53,1;273;-148,87;8,57;0,23
16/7/2026 12:26;23,5;48,5;21,9;52,8;272;-148,87;8,59;0,23
16/7/2026 12:26;23,5;48,4;21,8;52,9;272;-148,87;8,59;0,23
16/7/2026 12:26;23,5;48,3;21,8;53,2;270;-148,87;8,60;0,23
16/7/2026 12:26;23,4;48,3;21,7;52,9;272;-148,87;8,60;0,23
16/7/2026 12:26;23,5;48,4;21,8;53,0;272;-148,87;8,59;0,23
16/7/2026 12:28;23,5;48,4;21,7;53,1;274;-148,87;8,60;0,23
16/7/2026 12:28;23,4;48,2;21,8;53,4;272;-148,87;8,59;0,23
16/7/2026 12:30;23,5;48,1;21,9;53,4;271;-148,87;8,61;0,23
16/7/2026 12:30;23,4;48,1;22,0;53,4;273;-148,87;8,60;0,23
16/7/2026 12:32;23,5;48,1;21,9;53,2;274;-148,87;8,61;0,23
16/7/2026 12:32;23,5;48,0;22,0;53,4;273;-148,87;8,60;0,23
16/7/2026 12:32;23,5;48,2;21,9;53,2;274;-148,87;8,61;0,23
16/7/2026 12:33;23,6;48,2;21,9;53,0;273;-148,87;8,59;0,23
16/7/2026 12:34;23,6;48,1;22,0;53,2;271;-148,87;8,60;0,23
16/7/2026 12:37;23,5;48,2;22,0;53,3;272;-148,87;8,61;0,23
16/7/2026 12:37;23,5;48,3;22,0;53,5;271;-148,87;8,60;0,23
16/7/2026 12:37;23,5;48,2;22,0;53,5;272;-148,87;8,60;0,23
16/7/2026 12:39;23,6;48,1;21,9;53,4;273;-148,87;8,59;0,23
16/7/2026 12:39;23,5;48,1;22,0;53,1;273;-148,87;8,58;0,23
16/7/2026 12:39;23,5;48,2;21,9;53,0;272;-148,87;8,59;0,23
16/7/2026 12:41;23,5;48,1;22,0;53,0;271;-148,87;8,60;0,23
16/7/2026 12:41;23,5;48,0;21,9;53,1;269;-148,87;8,58;0,23
16/7/2026 12:44;23,4;48,2;21,9;53,2;270;-148,87;8,58;0,23
16/7/2026 12:44;23,4;48,3;21,8;53,2;272;-148,87;8,58;0,23
16/7/2026 12:44;23,3;48,4;21,8;53,1;270;-148,87;8,58;0,23
16/7/2026 12:44;23,2;48,2;21,9;52,9;268;-148,87;8,58;0,23
16/7/2026 12:44;23,2;48,0;21,9;53,1;268;-148,87;8,56;0,23
16/7/2026 12:44;23,2;47,8;21,8;53,3;266;-148,87;8,57;0,23
16/7/2026 12:47;23,3;47,9;21,8;53,4;266;-148,87;8,57;0,23
16/7/2026 12:50;23,2;48,0;21,8;53,3;266;-148,87;8,58;0,23
16/7/2026 12:53;23,3;48,1;21,8;53,0;267;-148,87;8,59;0,23
16/7/2026 12:55;23,2;48,1;21,8;52,9;265;-148,87;8,60;0,23
16/7/2026 12:55;23,3;48,1;21,8;52,6;263;-148,87;8,60;0,23
16/7/2026 12:57;23,3;48,0;21,8;52,7;261;-148,87;8,62;0,23
16/7/2026 12:58;23,2;47,9;21,8;52,6;259;-148,87;8,61;0,23
16/7/2026 12:59;23,2;47,9;21,7;52,5;259;-148,87;8,62;0,23
