Fecha;Temp1;Humedad 1;Temp 2;Humedad 2;TDS;Temperatura NTC;Ph;Nivel (m)
12/4/2026 12:20;23,1;48,2;22,1;53,2;269;-148,87;8,60;0,23
12/4/2026 12:20;23,1;48,3;22,1;52,9;269;-148,87;8,59;0,23
12/4/2026 12:20;23,1;48,4;22,2;53,1;268;-148,87;8,58;0,23
12/4/2026 12:22;23,2;48,5;22,2;53,0;266;-148,87;8,60;0,23
12/4/2026 12:22;23,1;48,6;22,2;52,8;268;-148,87;8,60;0,23
12/4/2026 12:22;23,0;48,7;22,2;52,8;267;-148,87;8,61;0,23
12/4/2026 12:22;23,0;48,8;22,3;53,0;266;-148,87;8,61;0,23
12/4/2026 12:22;22,9;48,8;22,2;52,9;267;-148,87;8,61;0,23
12/4/2026 12:22;22,9;48,7;22,2;53,1;268;-148,87;8,62;0,23
12/4/2026 12:22;23,2;48,1;22,1
12/4/2026 12:22;22,8;48,6;22,3;53,2;266;-148,87;8,63;0,23
12/4/2026 12:25;22,8;48,6;22,2;53,2;264;-148,87;8,64;0,23
12/4/2026 12:25;22,7;48,6;22,3;53,2;263;-148,87;8,66;0,23
12/4/2026 12:25;22,7;48,4;22,3;53,2;264;-148,87;8,66;0,23
12/4/2026 12:26;22,7;48,4;22,2;53,2;263;-148,87;8,67;0,23
12/4/2026 12:26;22,7;48,2;22,1;53,1;262;-148,87;8,67;0,23
12/4/2026 12:26;22,7;48,2;22,1;52,9;263;-148,87;8,67;0,23
12/4/2026 12:26;23,2;48,1;22,1
12/4/2026 12:27;22,7;48,3;22,1;53,0;261;-148,87;8,68;0,23
12/4/2026 12:27;22,6;48,1;22,1;53,1;260;-148,87;8,67;0,23
12/4/2026 12:27;22,7;48,0;22,2;53,2;259;-148,87;8,66;0,23
12/4/2026 12:27;22,6;48,0;22,2;53,1;259;-148,87;8,66;0,23
12/4/2026 12:27;22,6;48,1;22,2;53,1;260;-148,87;8,65;0,23
12/4/2026 12:27;22,7;48,1;22,1;53,3;261;-148,87;8,65;0,23
12/4/2026 12:27;22,7;48,1;22,1;53,6;261;-148,87;8,66;0,23
12/4/2026 12:30;22,7;48,0;22,1;53,6;262;-148,87;8,65;0,23
12/4/2026 12:30;22,6;48,2;22,1;53,7;263;-148,87;8,65;0,23
12/4/2026 12:30;22,7;48,1;22,1;53,8;264;-148,87;8,66;0,23
12/4/2026 12:33;22,7;48,2;22,1;53,5;262;-148,87;8,64;0,23
12/4/2026 12:33;22,7;48,2;22,1;53,8;263;-148,87;8,63;0,23
12/4/2026 12:33;22,7;48,2;22,2;54,0;262;-148,87;8,64;0,23
12/4/2026 12:33;22,7;48,0;22,2;53,7;260;-148,87;8,64;0,23
12/4/2026 12:33;22,7;48,0;22,2;53,6;261;-148,87;8,64;0,23
12/4/2026 12:34;22,7;47,8;22,1;53,5;262;-148,87;8,65;0,23
12/4/2026 12:34;22,7;47,7;22,1;53,2;261;-148,87;8,66;0,23
12/4/2026 12:34;22,7;47,5;22,1;53,3;261;-148,87;8,67;0,23
12/4/2026 12:36;22,7;47,4;22,0;53,1;262;-148,87;8,66;0,23
12/4/2026 12:36;22,7;47,2;21,9;53,2;261;-148,87;8,67;0,23
12/4/2026 12:39;22,6;47,2;21,9;53,2;262;-148,87;8,66;0,23
12/4/2026 12:39;22,7;47,1;22,0;53,1;264;-148,87;8,67;0,23
12/4/2026 12:39;22,7;47,0;22,0;53,3;264;-148,87;8,66;0,23
12/4/2026 12:41;22,7;47,1;22,1;53,1;265;-148,87;8,66;0,23
12/4/2026 12:41;22,6;47,0;22,1;53,1;265;-148,87;8,67;0,23
12/4/2026 12:41;22,6;47,1;22,1;53,3;266;-148,87;8,66;0,23
12/4/2026 12:43;22,6;47,1;22,1;53,5;265;-148,87;8,64;0,23
12/4/2026 12:43;22,5;47,0;22,1;53,4;263;-148,87;8,62;0,23
12/4/2026 12:45;23,2;48,1;22,1
12/4/2026 12:45;22,6;47,2;22,1;53,3;262;-148,87;8,61;0,23
